sona_id,red_jar_percentage,green_jar_percentage,red_jar_initial_probability,red_jar_initial_confidence,green_jar_initial_probability,green_jar_initial_confidence,experiment_start_time,experiment_end_time,demographics_gender,demographics_academic_year,demographics_major,demographics_minor,trial_type,phase,trial_number,timestamp,jar_type,jar_percentage,drawn_ball,ball_sequence,ball_sequence_length,estimated_probability,confidence,reaction_time,sample_balls,correct_jar,incorrect_jar,selected_jar,is_correct
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,1,2026-02-24T15:02:45.902+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,50,50,False
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,2,2026-02-24T15:03:12.401+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""black"", ""black"", ""white"", ""white"", ""white"", ""black""]",30,10,30,True
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,3,2026-02-24T15:03:20.385+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""white"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black""]",90,40,90,True
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,4,2026-02-24T15:03:30.602+00:00,,,,,,,,,"[""black"", ""white"", ""black"", ""black"", ""black"", ""white"", ""white"", ""white"", ""black"", ""white""]",50,90,50,True
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,5,2026-02-24T15:03:38.568+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,30,0,True
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,6,2026-02-24T15:03:44.068+00:00,,,,,,,,,"[""black"", ""black"", ""black"", ""white"", ""black"", ""black"", ""white"", ""black"", ""white"", ""black""]",70,100,70,True
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,7,2026-02-24T15:03:50.101+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""black"", ""white"", ""white"", ""white"", ""white"", ""black""]",20,40,20,True
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,8,2026-02-24T15:03:56.868+00:00,,,,,,,,,"[""white"", ""white"", ""black"", ""black"", ""black"", ""white"", ""black"", ""black"", ""white"", ""black""]",60,20,60,True
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,9,2026-02-24T15:04:01.634+00:00,,,,,,,,,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",0,100,0,True
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,training,,10,2026-02-24T15:04:07.051+00:00,,,,,,,,,"[""black"", ""white"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""black"", ""white""]",80,30,80,True
